# id, p_deg, t_deg, camPosX, camPosY, camPosZ, camEulerX_deg, camEulerY_deg, camEulerZ_deg
134, -15.141570, -4.800000, 0.040917, 1.082837, -0.319921, 357.742300, 10.079870, 359.981100
135, 27.996660, 13.199710, 0.036882, 1.094117, -0.299573, 355.219000, 8.374413, 0.008139
136, -27.996920, 13.139220, 0.039832, 1.123584, -0.316115, 348.125200, 9.661310, 359.977900
137, -27.961180, 12.668830, 0.048487, 1.127440, -0.321884, 347.157500, 11.995970, 359.929400
138, 27.689940, -1.307212, 0.040757, 1.089470, -0.318565, 356.065400, 9.982928, 0.010450
139, 27.750500, 13.200000, 0.033961, 1.110049, -0.306042, 351.281000, 7.921273, 0.013215
140, 27.106230, 10.613660, 0.022315, 1.119773, -0.315500, 349.000500, 5.432062, 0.058486
141, 27.999770, 7.164758, 0.012452, 1.107828, -0.312484, 351.888800, 2.998898, 0.030411
142, 27.995950, -4.760670, 0.006003, 1.069107, -0.310068, 1.007266, 1.432539, 0.003483
143, -22.392600, 13.189100, 0.012824, 1.098449, -0.297698, 354.107800, 2.908633, -0.004098
144, 27.981480, 13.200000, 0.005021, 1.125947, -0.314594, 347.525300, 1.220645, 0.030549
145, 28.000000, 13.045130, -0.006521, 1.128763, -0.317279, 346.825000, 358.393900, 0.078948
146, -25.040220, -4.331433, 0.000562, 1.086956, -0.317688, 356.573500, 0.138683, 359.990400
147, -7.662702, 12.420660, 0.005538, 1.104830, -0.301847, 352.513900, 1.278292, 359.985500
148, -27.997860, 10.010280, 0.014011, 1.116659, -0.313637, 349.751900, 3.391977, 359.951900
149, -2.671123, 13.200000, 0.013433, 1.125174, -0.314536, 347.692700, 3.263516, 0.002114
150, -27.999980, -4.593769, 0.019791, 1.085858, -0.318221, 356.878400, 4.878479, 359.988300
151, 25.729860, 13.199890, 0.013073, 1.105454, -0.301433, 352.397800, 3.009058, 0.010495
152, 25.307370, 12.353780, 0.004733, 1.124214, -0.314726, 347.929000, 1.151088, 0.038623
153, -25.516940, -4.795334, 0.011222, 1.084362, -0.317475, 357.220700, 2.762015, 359.989200
154, 18.422420, -4.799644, 0.006607, 1.054818, -0.304184, 4.300470, 1.539156, -0.005510
155, 26.648910, 7.769131, -0.000566, 1.086752, -0.298663, 356.842000, 359.871100, 0.000871
156, -2.113857, -4.799870, 0.000720, 1.075238, -0.312437, 359.556700, 0.173634, -0.001069
157, -28.000000, -4.394431, 0.007648, 1.055829, -0.304090, 4.115799, 1.780491, 0.009340
158, -17.116630, -4.756541, 0.016731, 1.052114, -0.303393, 4.980844, 3.879170, 0.023672
159, 22.674290, 13.125180, 0.008818, 1.092768, -0.295303, 355.595400, 1.982115, 0.001286
160, 26.657460, 13.200000, 0.001950, 1.125188, -0.314054, 347.759300, 0.472759, 0.025740
161, 27.999990, -4.544852, -0.004630, 1.086882, -0.317890, 356.712900, 358.857500, 0.009892
162, -27.999850, -4.578351, 0.000948, 1.056102, -0.304265, 4.029319, 0.220899, 0.004783
163, 24.034500, 13.191210, -0.005817, 1.094306, -0.295960, 355.046800, 358.688700, 0.001720
164, 27.058300, 13.110140, -0.011397, 1.125226, -0.314517, 347.690900, 357.229800, 0.026117
165, -28.000000, 13.102420, 0.000116, 1.128980, -0.317312, 346.768200, 0.030316, 359.921000
166, -27.998680, 12.793520, 0.012461, 1.127210, -0.316601, 347.201700, 3.056567, 359.919600
167, 22.216750, -4.798932, 0.005507, 1.085270, -0.317345, 356.975500, 1.355219, 0.007056
168, -27.999990, -3.959823, 0.011653, 1.057492, -0.304059, 3.668468, 2.711435, 0.004100
169, -19.450580, 13.199850, 0.018038, 1.096041, -0.297066, 354.656500, 4.077370, -0.003276
170, 2.646983, 13.200000, 0.012054, 1.125809, -0.314815, 347.554100, 2.931785, 0.037764
171, -25.743030, -4.372673, 0.017989, 1.087170, -0.318527, 356.614800, 4.441920, 359.992000
172, 18.388270, 12.218010, 0.011894, 1.104670, -0.302339, 352.582500, 2.748101, 0.011117
173, 27.704430, 10.902410, 0.002711, 1.119187, -0.313550, 349.148100, 0.655643, 0.042480
174, -16.766430, -4.650483, 0.008713, 1.079929, -0.315159, 358.289300, 2.124131, 359.989400
175, 12.104770, 12.756510, 0.002621, 1.101856, -0.299681, 353.360100, 0.599426, 0.007319
176, -27.029500, 13.199700, 0.009117, 1.125964, -0.314730, 347.534700, 2.218966, 359.969500
177, -27.875470, -4.799999, 0.015454, 1.086684, -0.318419, 356.706500, 3.816376, 359.989300
178, -25.103430, -4.800000, 0.021503, 1.055259, -0.305203, 4.209126, 5.017626, 0.005501
179, 24.765430, 11.320010, 0.016393, 1.079834, -0.293436, 358.414000, 3.654357, -0.003010
180, 27.472120, 13.065580, 0.009114, 1.120741, -0.311134, 348.769600, 2.183654, 0.018234
181, 23.420800, 13.200000, -0.000383, 1.129258, -0.317409, 346.697100, 359.904200, 0.062780
182, -2.151194, 13.199930, 0.001633, 1.128554, -0.316619, 346.871200, 0.400955, 359.990400
183, -27.687360, -3.337341, 0.007511, 1.100099, -0.321311, 353.402600, 1.880812, 359.980300
184, -27.472220, -2.299198, 0.013301, 1.067018, -0.305766, 1.433130, 3.115799, 0.000147
185, 27.726380, 13.199780, 0.006111, 1.102262, -0.299450, 353.140400, 1.396375, 0.006581
186, -27.415450, -4.613227, 0.012848, 1.078740, -0.314688, 358.596900, 3.124143, 359.990400
187, 25.701800, -4.799999, 0.007011, 1.054381, -0.304030, 4.412908, 1.632288, 359.991900
188, -16.543400, -4.560898, 0.016387, 1.051994, -0.302939, 4.995879, 3.792409, 0.027544
189, 24.715380, -4.026493, 0.003221, 1.054506, -0.302731, 4.420962, 0.746658, 359.974900
190, 1.312263, 0.542049, 0.001668, 1.069477, -0.301942, 0.934336, 0.385163, -0.001749
191, 27.999980, 13.147540, -0.005292, 1.109625, -0.303871, 351.431700, 358.768500, 0.009555
192, 27.999510, -3.354866, -0.011589, 1.083160, -0.315150, 357.685700, 357.176000, 0.008946
193, 27.996530, 13.034000, -0.019630, 1.105686, -0.302241, 352.385100, 355.471600, 0.008893
194, -4.711532, 13.196940, -0.013792, 1.126768, -0.315616, 347.316300, 356.634600, 359.969500
195, -27.961080, -3.566622, -0.006554, 1.087891, -0.317401, 356.432400, 358.387200, 359.986700
196, 27.596770, 13.199790, -0.014697, 1.107053, -0.302324, 352.032900, 356.605300, 0.010861
197, 27.999660, 13.145450, -0.020881, 1.126734, -0.316144, 347.316400, 354.899000, 0.036516
198, -27.999960, -1.271750, -0.013478, 1.090627, -0.315935, 355.853000, 356.706200, 359.987700
199, -27.406090, 11.636880, -0.005759, 1.106714, -0.303992, 352.108600, 358.659800, 359.986100
200, 27.085890, -4.760873, -0.010463, 1.087709, -0.317217, 356.598100, 357.427400, 0.012519
201, 27.923480, 2.401676, -0.019926, 1.078555, -0.304126, 358.811300, 355.368600, 0.006255
202, 27.999880, 2.879995, -0.030815, 1.083677, -0.306877, 357.614500, 352.779300, 0.011351
203, 13.430890, 13.064070, -0.035114, 1.114823, -0.309576, 350.202700, 351.693800, 0.022948
204, 27.999980, 13.189470, -0.041035, 1.128251, -0.320157, 346.948200, 349.880800, 0.047830
205, 19.809690, 13.200000, -0.048970, 1.128667, -0.321919, 346.844000, 347.886600, 0.053253
206, -27.873310, 9.351380, -0.039151, 1.116791, -0.317673, 349.737100, 350.439700, 359.967700
207, -27.833100, 13.124580, -0.028204, 1.123318, -0.314363, 348.149400, 353.178700, 359.953000
208, -25.145470, -2.944759, -0.020648, 1.086433, -0.316334, 356.832500, 354.952800, 359.988800
209, 7.200779, -4.613778, -0.023247, 1.056412, -0.305340, 3.953252, 354.574500, -0.002502
210, -23.826730, 13.200000, -0.016602, 1.094478, -0.296451, 354.997000, 356.255400, -0.002529
211, 0.646460, 12.842010, -0.013149, 1.124464, -0.314487, 347.874600, 356.806200, 359.985700
212, -27.843350, 2.658365, -0.005998, 1.098041, -0.313927, 354.212000, 358.545400, 359.986200
213, -16.370420, 12.156550, 0.000466, 1.112995, -0.307260, 350.640600, 0.110400, 359.984000
214, 27.876510, 13.167150, -0.005698, 1.124766, -0.313887, 347.797800, 358.617300, 0.034922
215, 28.000000, 12.795870, -0.020029, 1.127267, -0.317215, 347.187200, 355.082700, 0.080064
216, -20.391900, -4.797187, -0.012971, 1.085500, -0.317829, 356.911500, 356.804100, 359.992000
217, 17.284860, -4.718410, -0.018600, 1.055223, -0.304795, 4.193629, 355.664100, -0.003404
218, 25.909540, 2.232881, -0.026505, 1.072696, -0.301816, 0.156815, 353.906700, -0.003555
219, 27.996310, 12.179250, -0.031584, 1.110749, -0.307988, 351.169900, 352.567500, 0.009789
220, -27.996510, 2.310695, -0.022606, 1.094833, -0.313456, 354.973900, 354.543700, 359.984600
221, 27.697720, 7.213978, -0.032520, 1.097954, -0.308098, 354.242800, 352.346200, 0.021758
222, -27.977980, 13.200000, -0.022893, 1.120959, -0.312143, 348.720600, 354.505500, 359.974400
223, -27.984990, -4.723752, -0.015248, 1.084609, -0.317476, 357.288300, 356.250000, 359.990800
224, 27.993180, -4.797285, -0.021525, 1.054967, -0.305081, 4.304160, 354.979600, -0.004970
225, -27.945260, -2.860049, -0.009466, 1.057028, -0.301813, 3.832092, 357.816100, 0.021992
226, 27.999930, -4.784196, -0.021219, 1.054234, -0.304719, 4.487457, 355.058200, 359.980800
227, 15.916360, -4.707909, -0.029202, 1.052472, -0.304779, 4.897905, 353.212300, 359.977000
228, 16.817420, -4.793417, -0.037345, 1.052170, -0.305919, 4.968513, 351.305400, 359.974500
229, 27.983640, -4.767178, -0.049925, 1.052219, -0.308177, 4.957199, 348.340800, 359.964800
230, -7.481825, 4.295418, -0.042983, 1.079741, -0.304568, 358.533600, 350.070500, -0.001385
231, -4.890532, -4.793588, -0.036472, 1.063389, -0.310618, 2.352668, 351.340900, -0.000130
232, -28.000000, 13.125660, -0.029803, 1.097332, -0.299122, 354.325400, 353.228100, -0.004887
233, -27.139270, -4.794592, -0.019681, 1.076131, -0.314285, 359.235900, 355.229600, 359.990900
234, 27.977990, 13.176170, -0.027944, 1.102001, -0.301129, 353.275100, 353.596100, 0.006103
235, -27.932540, -0.194842, -0.018306, 1.086808, -0.312538, 356.879100, 355.593900, 359.987600
236, 24.760440, -4.798684, -0.023820, 1.058492, -0.306664, 3.501199, 354.411600, -0.002884
237, -24.280460, -2.392277, -0.012797, 1.058829, -0.301972, 3.418690, 357.047300, 0.019095
238, 27.554910, 1.684936, -0.019772, 1.071055, -0.301713, 0.563883, 355.448900, -0.004011
239, -24.993800, 12.619610, -0.010833, 1.117505, -0.309884, 349.557200, 357.418300, 359.984500
240, 25.507520, -4.799681, -0.016371, 1.082983, -0.317260, 357.706400, 355.977900, 0.009595
241, 27.876970, 13.000940, -0.025060, 1.103704, -0.301756, 352.906000, 354.237800, 0.008023
242, 13.775390, 11.400240, -0.028450, 1.121053, -0.315722, 348.728100, 353.078500, 0.031559
243, 27.999190, -2.736558, -0.034800, 1.084165, -0.317039, 357.339700, 351.507400, 0.013173
244, -27.996320, -4.418040, -0.029269, 1.056922, -0.305936, 3.824820, 353.164400, 0.007032
245, -18.409380, 10.050760, -0.023151, 1.091704, -0.299100, 355.664900, 354.730300, -0.001734
246, -27.999970, 10.291270, -0.014153, 1.114932, -0.312160, 350.182900, 356.596700, 359.972600
247, -23.425190, 10.186990, -0.002290, 1.116874, -0.313380, 349.716600, 359.447100, 359.936000
248, -27.912210, 2.488739, 0.005567, 1.092766, -0.310698, 355.470100, 1.332474, 359.983500
249, -27.999730, 4.505267, 0.016302, 1.089225, -0.305696, 356.309200, 3.816426, 359.977400
250, 27.992340, -4.799999, 0.008060, 1.063069, -0.307508, 2.421076, 1.902877, -0.001148
251, 7.914440, -4.799989, 0.003291, 1.051942, -0.302754, 5.019576, 0.762554, 359.989400
252, -27.964990, 13.199990, 0.011599, 1.092520, -0.295255, 355.628600, 2.605908, -0.000775
253, -20.380540, -4.292598, 0.016973, 1.075192, -0.312937, 359.613100, 4.093417, 359.993600
254, 0.247325, -2.144579, 0.015082, 1.063140, -0.304123, 2.432206, 3.508619, -0.003481
255, 27.618840, -4.798864, 0.004696, 1.054447, -0.303821, 4.444262, 1.092571, 359.985700
256, 27.980310, -3.733217, -0.008218, 1.055177, -0.302607, 4.270167, 358.098800, 359.973400
257, -25.446710, 10.352840, 0.001146, 1.102550, -0.303446, 353.232900, 0.266433, 359.992400
258, -27.956790, -4.782000, 0.007608, 1.075124, -0.313420, 359.613800, 1.841205, 359.994300
259, 27.328900, -1.504273, -0.001035, 1.063704, -0.302561, 2.293517, 359.760600, 359.990100
260, -20.847940, -4.791000, 0.008762, 1.055441, -0.304345, 4.211138, 2.041721, 0.011608
261, 27.999860, -4.740126, -0.003413, 1.052211, -0.302940, 4.959862, 359.209500, 359.972300
262, 25.561700, -4.799979, -0.016940, 1.052011, -0.303577, 5.005751, 356.069800, 359.965300
263, -14.222450, -0.768556, -0.007997, 1.064471, -0.301903, 2.103431, 358.154300, 0.006961
264, -27.998000, 5.685229, 0.000296, 1.089298, -0.303730, 356.288200, 0.068901, -0.005659
265, -28.000000, 10.068430, 0.006098, 1.106758, -0.307316, 352.144400, 1.439225, 359.984100
266, 27.997180, 8.075496, -0.008207, 1.108915, -0.311691, 351.633800, 358.027300, 0.050264
267, -27.947420, 0.653682, -0.000459, 1.084618, -0.309116, 357.390600, 359.891000, 359.993300
268, 18.504930, 13.200000, -0.006234, 1.111458, -0.304563, 350.993500, 358.545300, 0.011200
269, -22.301760, 13.197620, 0.001424, 1.127819, -0.316078, 347.051600, 0.349696, 359.957500
270, -22.454460, -4.791861, 0.007920, 1.087196, -0.318334, 356.522800, 1.957515, 359.987000
271, 27.994870, -4.798720, 0.004276, 1.059577, -0.306330, 3.162319, 1.004836, -0.002002
272, -4.260089, -4.800000, 0.006822, 1.051092, -0.302411, 5.193290, 1.577362, 0.006084
273, -27.122050, 13.197470, 0.015041, 1.092328, -0.295374, 355.681000, 3.379163, -0.000201
274, 17.291430, -4.687026, 0.007683, 1.074473, -0.312772, 359.773200, 1.853910, 0.006099
